127.0.0.1 - - [17/May/2024:09:38:20 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [17/May/2024:09:38:55 +0900] "GET /lab03_js/index.html HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [17/May/2024:09:38:56 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [17/May/2024:09:39:59 +0900] "GET /lab02_css/homepage.html HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [17/May/2024:09:39:59 +0900] "GET /lab02_css/images/pizza.jpg HTTP/1.1" 200 313928
0:0:0:0:0:0:0:1 - - [17/May/2024:09:39:59 +0900] "GET /lab02_css/images/%EB%8C%80%EC%83%81%ED%98%81.jpg HTTP/1.1" 200 386504
0:0:0:0:0:0:0:1 - - [17/May/2024:09:39:59 +0900] "GET /lab02_css/css/mystyle3.css HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [17/May/2024:09:39:59 +0900] "GET /lab02_css/images/image01.jpg HTTP/1.1" 200 78501
0:0:0:0:0:0:0:1 - - [17/May/2024:09:39:59 +0900] "GET /lab02_css/images/image02.jpg HTTP/1.1" 200 83534
0:0:0:0:0:0:0:1 - - [17/May/2024:09:39:59 +0900] "GET /lab02_css/images/%EB%B0%B0%EB%93%9C%EB%AF%BC%ED%84%B4.jpg HTTP/1.1" 200 478980
0:0:0:0:0:0:0:1 - - [17/May/2024:09:39:59 +0900] "GET /lab02_css/images/ZF.jpg HTTP/1.1" 200 32857
0:0:0:0:0:0:0:1 - - [17/May/2024:09:40:00 +0900] "GET /lab02_css/images/image03.jpg HTTP/1.1" 200 108453
0:0:0:0:0:0:0:1 - - [17/May/2024:09:40:00 +0900] "GET /lab02_css/images/image04.jpg HTTP/1.1" 200 104059
0:0:0:0:0:0:0:1 - - [17/May/2024:09:40:00 +0900] "GET /lab02_css/images/image05.jpg HTTP/1.1" 200 77271
192.168.20.8 - - [17/May/2024:09:44:12 +0900] "GET //lab02_css/homepage.html HTTP/1.1" 200 3454
192.168.20.8 - - [17/May/2024:09:44:12 +0900] "GET //lab02_css/css/mystyle3.css HTTP/1.1" 200 2152
192.168.20.8 - - [17/May/2024:09:44:12 +0900] "GET //lab02_css/images/ZF.jpg HTTP/1.1" 200 32857
192.168.20.8 - - [17/May/2024:09:44:12 +0900] "GET //lab02_css/images/%EB%8C%80%EC%83%81%ED%98%81.jpg HTTP/1.1" 200 386504
192.168.20.8 - - [17/May/2024:09:44:12 +0900] "GET //lab02_css/images/pizza.jpg HTTP/1.1" 200 313928
192.168.20.8 - - [17/May/2024:09:44:12 +0900] "GET //lab02_css/images/image01.jpg HTTP/1.1" 200 78501
192.168.20.8 - - [17/May/2024:09:44:12 +0900] "GET //lab02_css/images/%EB%B0%B0%EB%93%9C%EB%AF%BC%ED%84%B4.jpg HTTP/1.1" 200 478980
192.168.20.8 - - [17/May/2024:09:44:12 +0900] "GET //lab02_css/images/image02.jpg HTTP/1.1" 200 83534
192.168.20.8 - - [17/May/2024:09:44:12 +0900] "GET //lab02_css/images/image03.jpg HTTP/1.1" 200 108453
192.168.20.8 - - [17/May/2024:09:44:12 +0900] "GET //lab02_css/images/image04.jpg HTTP/1.1" 200 104059
192.168.20.8 - - [17/May/2024:09:44:12 +0900] "GET //lab02_css/images/image05.jpg HTTP/1.1" 200 77271
192.168.20.8 - - [17/May/2024:09:44:12 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [17/May/2024:09:51:38 +0900] "GET /lab03_js/index.html HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [17/May/2024:09:51:39 +0900] "GET /lab03_js/while.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [17/May/2024:09:52:08 +0900] "GET /lab03_js/while.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [17/May/2024:09:52:10 +0900] "GET /lab03_js/while.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [17/May/2024:09:53:57 +0900] "GET /lab03_js/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2024:09:53:58 +0900] "GET /lab03_js/while.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [17/May/2024:09:55:22 +0900] "GET /lab03_js/while.html HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [17/May/2024:09:56:02 +0900] "GET /lab03_js/while.html HTTP/1.1" 304 -
